,name,time,tweet
144,yulop,2022-03-13 01:23:24,@YexaleC @nicolle971_ Pero si podíamos cantar y bailar y todo bueno al menos los Cinépolis si lo permitían
145,Nancy,2022-03-13 01:23:14,"De los mejores días de mi vida😊 @lanegrisgt 💜 #Bts
#PermissionToDance 
#Cinepolis https://t.co/xrBAE2rt2k"
146,Aida Aguilar,2022-03-13 01:23:11,"@MasQueCineLatam Asombroso ✨💜 #PermissionToDanceOnStageSeoul 
#BTS_PTD_ON_STAGE_SEOUL  
#BTSARMY  
#BTS  
#cinepolis https://t.co/vDXMWl0v5Z"
147,𝐀𝐋𝐄⁷𝐋𝐨𝐯𝐞𝐥𝐲₁₃ 🍊,2022-03-13 01:23:06,"Que emoción vi a BTS con mi mejor amigo en @Cinepolis 
Como siempre y una vez más Gracias @BTS_twt 💜😍🥺… https://t.co/tWR9oB0Qyn"
148,Azu Estrada,2022-03-13 01:22:58,"@Cinepolis @Cinepolis Ame, Ame Todo !! 👑❣️❣️✨"
149,𝚟𝚊𝚕𝚎𝚛𝚒𝚊⁷ ♡ ☆ ﾟ. * ･｡,2022-03-13 01:22:57,@Cinepolis Fui la más FELIZ😭💜 gracias Joel💜🙏🏻 https://t.co/5dSw4n3VcW
150,Bangtan ⟭⟬ Yoongilover,2022-03-13 01:22:40,"Nos pusieron el concierto empezado, nos quitaron dos canciones del principio, muy mal @Cinepolis"
151,I,2022-03-13 01:22:40,@taekugh13 @AyudaCinepolis @Cinepolis Mi pregunta exactamente
152,Minji,2022-03-13 01:22:36,"Amigarmis de #puebla #cinepolis La Noria, Sala 8 función de las 4, yo tome la foto con la cámara desechable. Cuando… https://t.co/PZv2dU5gzH"
153,🔥Tae♡JK💦,2022-03-13 01:22:34,"#cinepolis quienes estuvieron en la sala 1 de Oasis coyoacan en la fila P, gracias por todo, son muy hermosas!! #PermissionToDanceOnStage"
154,Maary,2022-03-13 01:22:26,"Me hubiese gustado tener una mejor decoración en el cine, nada conmemorativo de BTS #cinepolis https://t.co/gsZI2PvI8y"
155,ᴄᴀɴᴅʏ⁷,2022-03-13 01:22:05,SEÑOR DE CINEPOLIS Q NOS DIJO ESO CON TODO RESPETO COMA COLA 😡
156,♡𝒱𝒾𝓋𝒾 ⟭⟬ ⁷,2022-03-13 01:22:04,@Cinepolis Cinépolis Portal centenario un asco!!Horario 4pm sala 1 pusieron el concierto de PTD a media canción de… https://t.co/VYxCHzbtvS
157,🇦🇷🍜Meel💗,2022-03-13 01:22:03,"Hola
Busco a una chica super linda de pelito corto que estaba en Cinepolis Avellaneda, con un chica de pelito rojo… https://t.co/C7LiFdNlQ5"
158,Karyhope,2022-03-13 01:22:01,Un bello día 💜✨ @Cinepolis @MasQueCineLatam https://t.co/dnFatUkFMb
159,JazMY --,2022-03-13 01:21:57,"@lewisrimart @Cinepolis Lewis, también eres army?"
160,Azu Estrada,2022-03-13 01:21:56,@MasQueCineLatam @bts_bighit 😎 @BTS_twt 😍 @Cinepolis 🇲🇽 @MasQueCineLatam 💜💜💜😎 #BTS_PTD_ON_STAGE_SEOUL 😘🥰🥰 Ame Absol… https://t.co/xC9nCFcgZr
161,RosyIsaVS 🪐,2022-03-13 01:21:54,@Cinepolis Y el mío también 🥺💜 https://t.co/fD3Sq57A9M
162,me just me,2022-03-13 01:21:48,te ame sala uno del cinépolis pablo livas
163,Zaira Cruz 🌚,2022-03-13 01:21:37,@Fernand89871636 me lo cobraron el $185 en el cinepolis normal ☹
164,Mel♡JBts,2022-03-13 01:21:37,No tengo palabras para describir lo que siento. Fue una hermosa experiencia a ver podido vivir éste día el conciert… https://t.co/X6SNK7l7aJ
